name,telephoneNumber,mail,mail,postalAddress,postalAddress
Araluen Christian School,(08) 8955 3300,admin.acc@ntschools.net,admin.acc@ntschools.net,"10 Blain Street, Alice Springs, 0870, NT","11 Blain Street, Alice Springs, 0870, NT"
Alpurrurulam School,(07) 4748 4887,daven.scott@education.nt.gov.au,daven.scott@education.nt.gov.au,"PMB 46, Mt Isa, 4825, QLD","PMB 46, Mt Isa, 4825, QLD"
Alice Springs Steiner School,(08) 8953 4578,accounts@alicesteiner.nt.edu.au,accounts@alicesteiner.nt.edu.au,"PO Box 2736, Alice Springs, 0871, NT","PO Box 2736, Alice Springs, 0871, NT"
Amoonguna School,(08) 8952 3402,cherie.gibbens@education.nt.gov.au,cherie.gibbens@education.nt.gov.au,"PO Box  2529,, Alice Springs, 0871, NT","PO Box  2529,, Alice Springs, 0871, NT"
Anula Primary School,(08) 899 77500,anula.admin@education.nt.gov.au,anula.admin@education.nt.gov.au,"Yanyula Drive, ANULA, 0812, NT","Yanyula Drive, ANULA, 0812, NT"
Ampilatwatja School,(08) 8956 9265,katrina.georgiou@education.nt.gov.au,katrina.georgiou@education.nt.gov.au,", PMB 84, Alice Springs, 0872, NT",", PMB 84, Alice Springs, 0872, NT"
Angurugu School,(08) 8987 6355,admin.angurcec@education.nt.gov.au,admin.angurcec@education.nt.gov.au,"PO Box 40, Alyangula, Groote Eylandt, 0885, NT","PO Box 40, Alyangula, Groote Eylandt, 0885, NT"
Alyarrmandumanja Umbakumba School,(08) 8987 6793,admin.umbakumba@education.nt.gov.au,admin.umbakumba@education.nt.gov.au,"PO Box 698, Alyangula, 0885, NT","PO Box 698, Alyangula, 0885, NT"
Amanbidji School,(08) 9168 7380,Carolyn.tucker@education.nt.gov.au,Carolyn.tucker@education.nt.gov.au,"PMB 16, via Katherine, 0851, NT","PMB 16, via Katherine, 0851, NT"
Alyangula Area School,(08) 8987 6366,alyangula.admin@education.nt.gov.au,alyangula.admin@education.nt.gov.au,"PMB 3, Alyangula, Groote Eylandt, 0885, NT","PMB 3, Alyangula, Groote Eylandt, 0885, NT"
Alice Springs School Of The Air,(08) 8951 6800,assoa@assoa.nt.edu.au,assoa@assoa.nt.edu.au,"PO Box 1220, Alice Springs, 0871, NT","PO Box 1220, Alice Springs, 0871, NT"
Alice Springs Language Centre,(08) 895 52366,alice.language@education.nt.gov.au,alice.language@education.nt.gov.au,"PO Box 9045, Alice Springs, 0871, NT","PO Box 9045, Alice Springs, 0871, NT"
Alcoota School,(08) 8956 9977,sian.munn@education.nt.gov.au,sian.munn@education.nt.gov.au,"PMB 129,, via Alice Springs, 0872, NT","PMB 129,, via Alice Springs, 0872, NT"
Alawa Primary School,(08) 899 77666,alawa.school@education.nt.gov.au,alawa.school@education.nt.gov.au,"PO Box 40446, Casuarina, 0811, NT","PO Box 40446, Casuarina, 0811, NT"
Alekarenge School,(08) 8964 1957,admin.alekacec@education.nt.gov.au,admin.alekacec@education.nt.gov.au,"LMB 161, via Alice Springs, 0872, NT","LMB 161, via Alice Springs, 0872, NT"
Adelaide River School,(08) 8976 7034,adelaideriver.ps@education.nt.gov.au,adelaideriver.ps@education.nt.gov.au,"C/- Post Office, Adelaide River, 0846, NT","C/- Post Office, Adelaide River, 0846, NT"
Yulara School,(08) 8956 2014,yulara.school@education.nt.gov.au,yulara.school@education.nt.gov.au,"PO Box 146, Yulara, 0872, NT","PO Box 146, Yulara, 0872, NT"
Zuccoli Primary School,(08) 792 30222,ZuccoliPrimary@ntschools.net,ZuccoliPrimary@ntschools.net,"PO Box 2222, PALMERSTON, 0832, NT","PO Box 2222, PALMERSTON, 0832, NT"
Yuendumu School,(08) 8956 4011,michael.timewell@education.nt.gov.au,michael.timewell@education.nt.gov.au,"C/ - Post Office, Yuendumu, 0870, NT","C/ - Post Office, Yuendumu, 0870, NT"
Yirrkala School,(08) 898 71988,admin.yirrkala@ntschools.net,admin.yirrkala@ntschools.net,"PO Box 896, Nhulunbuy, 0881, NT","PO Box 896, Nhulunbuy, 0881, NT"
Yirara College,(08) 8950 5644,info@yirara.nt.edu.au,info@yirara.nt.edu.au,"PMB 51, Alice Springs, 0871, NT","PMB 51, Alice Springs, 0871, NT"
Yarralin School,(08) 8975 0809,david.oke@education.nt.gov.au,david.oke@education.nt.gov.au,"PMB 34, via Katherine, 0851, NT","PMB 34, via Katherine, 0851, NT"
Yipirinya School,(08) 8952 5633,yipirinya@yipirinya.com.au,yipirinya@yipirinya.com.au,"C/- Yipirinya School Council Inc, PO Box 2363, Alice Springs, 0871, NT","C/- Yipirinya School Council Inc, PO Box 2363, Alice Springs, 0871, NT"
Wurankuwu Homeland Learning Centre,(08) 8978 3986,tba,tba,"Nguiu, Bathurst Island, 0822, NT","Nguiu, Bathurst Island, 0822, NT"
Xavier CEC,(08) 8978 3970,admin.xcec@nt.catholic.edu.au,admin.xcec@nt.catholic.edu.au,"PMB 139,, via Winnellie, 0822, NT","PMB 139,, via Winnellie, 0822, NT"
Wulagi Primary School,(08) 898 37800,wulagi.primary@education.nt.gov.au,wulagi.primary@education.nt.gov.au,"24 Brolga St, WULAGI, 0812, NT","25 Brolga St, WULAGI, 0812, NT"
Wugularr School,(08) 8975 4529,admin.wugulsch@education.nt.gov.au,admin.wugulsch@education.nt.gov.au,"PMB 6, Katherine, 0851, NT","PMB 6, Katherine, 0851, NT"
Woolianna School,(08) 8978 2984 / 0477 333 413,woolianna.school@education.nt.gov.au,woolianna.school@education.nt.gov.au,"PMB 194, Winnellie, 0821, NT","PMB 194, Winnellie, 0821, NT"
Woolaning School,(08) 8978 2334,admin.woolasch@education.nt.gov.au,admin.woolasch@education.nt.gov.au,"PO Box 3261, Palmerston, 0831, NT","PO Box 3261, Palmerston, 0831, NT"
Willowra School,(08) 8956 8408,willowra.school@education.nt.gov.au,willowra.school@education.nt.gov.au,"PMB 102, via Alice Springs, 0872, NT","PMB 102, via Alice Springs, 0872, NT"
Woodroffe Primary School,(08) 898 37600,woodroffe.ps@education.nt.gov.au,woodroffe.ps@education.nt.gov.au,"PO Box 2021, PALMERSTON, 0831, NT","PO Box 2021, PALMERSTON, 0831, NT"
Watarrka School,(08) 8956 7758,christine.munro@education.nt.gov.au,christine.munro@education.nt.gov.au,"Education Stores, Shed 9, 66A Smith St, Alice Springs, 0870, NT","Education Stores, Shed 9, 66A Smith St, Alice Springs, 0870, NT"
Watiyawanu School,(08) 8956 8555,l.kenny@education.nt.gov.au,l.kenny@education.nt.gov.au,"PMB 111, via Alice Springs, 0872, NT","PMB 111, via Alice Springs, 0872, NT"
